,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,full_text,full_text_cleaned,scores_sum,sentences,scores
10,10,0.0,0.2812,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['stupid', 'thing', 'm3', 'done', 'whilst', 'feel', 'like', 'put', 'way', 'much', 'trust', 'even', 'say', 'keep', 'hand', 'wheel', 'turn', 'drive', 'way', 'l2', 'driver', 'assist']","@DanielBleakley @Tesla After some of the stupid things my M3 has done whilst on autopilot, I feel like you’re putting way too much trust in it. It even says keep your hands on the wheel when you turn it on. It’s not autonomous driving by the way, it’s L2 driver assistance.",stupid thing m3 done whilst feel like put way much trust even say keep hand wheel turn drive way l2 driver assist,-0.86,"['After some of the stupid things my M3 has done whilst on autopilot, I feel like you’re putting way too much trust in it.', 'It even says keep your hands on the wheel when you turn it on.', 'It’s not autonomous driving by the way, it’s L2 driver assistance.']","[-0.998, -0.596, -0.985]"
11,11,4.0,0.2414,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['vehicl', 'take', 'account', 'pull', 'polic', 'get', 'way', 'ambul', 'alreadi', 'featur', 'mode']",How will autonomous vehicles take into account being pulled over by police/getting out of the way of an ambulance? Is this already a feature on the Tesla autopilot mode? @elonmusk,vehicl take account pull polic get way ambul alreadi featur mode,-0.989,"['How will autonomous vehicles take into account being pulled over by police/getting out of the way of an ambulance?', 'Is this already a feature on the Tesla autopilot mode?']","[-0.988, -0.99]"
12,12,1.0,0.281,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['heard', 'lot', 'horror', 'stori', 'car', 'compani', 'consid', 'buy', 'electr', 'vehicl', 'ford', 'mustang', 'mach', 'e', 'porsch', 'taycan', 'research', 'amp', 'shop', 'electr', 'car']",@emmyjray I've heard a lot of autopilot horror stories from Tesla (and other autonomous car companies)... were you considering buying other electric vehicles such as the Ford Mustang Mach-E or Porsche Taycan while researching &amp; shopping for an electric car?,heard lot horror stori car compani consid buy electr vehicl ford mustang mach e porsch taycan research amp shop electr car,-0.98,"[""I've heard a lot of autopilot horror stories from Tesla (and other autonomous car companies)... were you considering buying other electric vehicles such as the Ford Mustang Mach-E or Porsche Taycan while researching &amp; shopping for an electric car?""]",[-0.98]
13,13,1.0,0.2459,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['fsd', 'semi', 'game', 'changer', 'current', 'global', 'suppli', 'crisi', 'mani', 'caus', 'one', 'abil', 'find', 'enough', 'long', 'haul', 'driver', 'tough', 'job', 'semi', 'truck', 'help', 'lot', 'safeti', 'drivabl', 'mile', 'ultim', 'suppli']","Autopilot and FSD in Tesla Semi, is a game-changer.

The current global supply crisis has many causes, one of them being the ability to find enough long-haul drivers. It's a tough job.

Autonomous semi trucks will help a lot with safety, more drivable miles, and ultimately supply",fsd semi game changer current global suppli crisi mani caus one abil find enough long haul driver tough job semi truck help lot safeti drivabl mile ultim suppli,0.874,"['Autopilot and FSD in Tesla Semi, is a game-changer.', 'The current global supply crisis has many causes, one of them being the ability to find enough long-haul drivers.', ""It's a tough job."", 'Autonomous semi trucks will help a lot with safety, more drivable miles, and ultimately supply']","[0.999, 0.669, 0.827, 0.999]"
14,14,0.0,0.2886,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['still', 'crash', 'accid', 'point', 'mute', 'peopl', 'crash', 'think', 'pay', 'attent', 'thing', 'actual', 'fsd', 'beta', 'tester', 'conflat', 'differ', 'system', 'argument']",@RS_HumanFirst11 @bluebearcafe1 @RealDanODowd @Tesla @elonmusk And they have still crashed and had accidents.  So your point is mute!  People crashing on autopilot because they think it’s autonomous and not paying any attention is not the same thing as the actual FSD Beta testers!  You are conflating different systems and arguments 🤦🏻‍♂️,still crash accid point mute peopl crash think pay attent thing actual fsd beta tester conflat differ system argument,-0.881,"['And they have still crashed and had accidents.', 'So your point is mute!', 'People crashing on autopilot because they think it’s autonomous and not paying any attention is not the same thing as the actual FSD Beta testers!', 'You are conflating different systems and arguments 🤦🏻\u200d♂️']","[-0.541, -0.998, -0.999, -0.985]"
15,15,0.0,0.2176,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['break', 'elon', 'musk', 'say', 'work', 'new', 'vehicl', 'dedic', 'robotaxi', 'high', 'optim', 'autonomi', 'reach', 'volum', 'product', '2024', 'steer', 'wheel', 'pedal', 'elon', 'say', 'number', 'innov', 'around', 'quit', 'excit']",BREAKING: Elon Musk says Tesla is working on a new vehicle which is a dedicated Robotaxi highly optimized for autonomy that will reach volume production in 2024. No steering wheel or pedals. Elon says there are a number of other innovations around it which are quite exciting.,break elon musk say work new vehicl dedic robotaxi high optim autonomi reach volum product 2024 steer wheel pedal elon say number innov around quit excit,-0.313,"['BREAKING: Elon Musk says Tesla is working on a new vehicle which is a dedicated Robotaxi highly optimized for autonomy that will reach volume production in 2024.', 'No steering wheel or pedals.', 'Elon says there are a number of other innovations around it which are quite exciting.']","[-0.936, -1.0, 0.996]"
16,16,4.0,0.2576,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['vehicl', 'follow', 'road', 'rule', 'keep', 'safe', 'distanc', 'cyclist', 'impati', 'crowd', 'tailgat', 'peopl', 'dumb', 'panicki', 'danger', 'anim', 'know', 'mib']","Autonomous vehicles will follow the road rules

Tesla #Autopilot keeps a safe distance from cyclist

No impatience
No crowding or tailgating

People are dumb, panicky dangerous animals and you know it. #MIB

https://t.co/AB9Yhszkxh",vehicl follow road rule keep safe distanc cyclist impati crowd tailgat peopl dumb panicki danger anim know mib,0.999,"['Autonomous vehicles will follow the road rules Tesla Autopilot keeps a safe distance from cyclist No impatience No crowding or tailgating People are dumb, panicky dangerous animals and you know it.']",[0.999]
17,17,3.0,0.2401,"drive, full, level, 2, musk, elon, year, call, 5, claim","['sinc', 'stir', 'u', 'alarm', 'disast', 'wait', 'happen', 'likelihood', 'complet', 'vehicl', 'see', 'light', 'day', 'anytim', 'soon']","Since Tesla Autopilot Stirs U.S. Alarm as ‘Disaster Waiting to Happen’, what is the likelihood this completely autonomous vehicle sees the light of day anytime soon?",sinc stir u alarm disast wait happen likelihood complet vehicl see light day anytim soon,-0.929,"['Since Tesla Autopilot Stirs U.S. Alarm as ‘Disaster Waiting to Happen’, what is the likelihood this completely autonomous vehicle sees the light of day anytime soon?']",[-0.929]
18,18,3.0,0.2254,"drive, full, level, 2, musk, elon, year, call, 5, claim","['long', 'user', 'recognis', 'driver', 'aid', 'use', 'appropri', 'highway', 'citi', 'street', 'great', 'featur', 'way', 'tech', 'go', 'fulli', 'vehicl', 'good', 'averag', 'human', 'driver', '10', 'year', 'better', 'best', '20']","@DanielBleakley @Tesla As long as users recognise Autopilot is a driver aid and use it appropriately on highways and not city streets, it’s a great feature.

The way this tech is going, fully autonomous vehicles will be as good as average human drivers in 10 years, and better than the best in 20.",long user recognis driver aid use appropri highway citi street great featur way tech go fulli vehicl good averag human driver 10 year better best 20,0.999,"['As long as users recognise Autopilot is a driver aid and use it appropriately on highways and not city streets, it’s a great feature.', 'The way this tech is going, fully autonomous vehicles will be as good as average human drivers in 10 years, and better than the best in 20.']","[0.999, 0.999]"
19,19,0.0,0.2622,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['known', 'driver', 'assist', 'system', 'featur', 'allow', 'see', 'car', 'road', 'around', 'drive', 'limit', 'degre', 'mean', 'capabl', 'turn', 'fulli', 'self', 'drive', 'car']",Tesla Autopilot is what's known as an autonomous driver assistance system. It's a feature that allows a Tesla to 'see' the cars and road around it and drive itself to a limited degree. This doesn't mean it is capable of turning a Tesla into a fully autonomous self-driving car. https://t.co/8qoIFrx3KH,known driver assist system featur allow see car road around drive limit degre mean capabl turn fulli self drive car,0.331,"[""Tesla Autopilot is what's known as an autonomous driver assistance system."", ""It's a feature that allows a Tesla to 'see' the cars and road around it and drive itself to a limited degree."", ""This doesn't mean it is capable of turning a Tesla into a fully autonomous self-driving car.""]","[0.994, 0.999, -1.0]"
20,20,3.0,0.2321,"drive, full, level, 2, musk, elon, year, call, 5, claim","['lot', 'forward', 'face', 'camera', 'fake', 'product']",That’s a lot of forward facing cameras for a fake product @elonmusk @JoeTegtmeyer 👀 https://t.co/DiwaL5YGY3,lot forward face camera fake product,-0.987,['That’s a lot of forward facing cameras for a fake product 👀'],[-0.987]
21,21,0.0,0.2281,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['fulli', 'yet', 'pay', 'uber', 'driver', 'watch', 'increas', 'safeti']","Because the Tesla autopilot isn't fully autonomous yet, we'll just pay Uber drivers to watch it for you to increase safety 💅💅",fulli yet pay uber driver watch increas safeti,-1.0,"[""Because the Tesla autopilot isn't fully autonomous yet, we'll just pay Uber drivers to watch it for you to increase safety 💅💅""]",[-1.0]
22,22,3.0,0.2381,"drive, full, level, 2, musk, elon, year, call, 5, claim","['subscript', 'enhanc', 'one', 'would', 'great', 'month', 'drive', 'lot', 'would', 'good', 'news', 'user', 'said', 'said', 'noth', 'teslamodel3', 'autonomousvehicl', 'toeasi']","@elonmusk , shouldn't we have the subscriptions for the enhanced autopilot and the autonomous one? that would be great. for the months when we drive a lot 😍 that would be good news for users ❤️ I said that, I said nothing #TeslaModel3 #Tesla #autopilot #autonomousvehicle #toeasy",subscript enhanc one would great month drive lot would good news user said said noth teslamodel3 autonomousvehicl toeasi,-0.997,"["", shouldn't we have the subscriptions for the enhanced autopilot and the autonomous one? that would be great."", 'for the months when we drive a lot 😍 that would be good news for users ❤️ I said that, I said nothing TeslaModel3 Tesla autopilot autonomousvehicle toeasy']","[-0.994, -1.0]"
23,23,4.0,0.2427,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['toy', 'notion', 'full', 'self', 'drive', 'capabl', 'featur', 'make', 'vehicl', 'one', 'wonder', 'malaysian', 'road', 'readi', 'call', 'futurist', 'automot', 'technolog']","As Tesla is toying with the notion of autopilot and full self-driving capability (features that do not make a vehicle autonomous), one wonders if the Malaysian roads are ready for this so-called futuristic automotive technology.
https://t.co/gbCJr2UR09",toy notion full self drive capabl featur make vehicl one wonder malaysian road readi call futurist automot technolog,-0.902,"['As Tesla is toying with the notion of autopilot and full self-driving capability (features that do not make a vehicle autonomous), one wonders if the Malaysian roads are ready for this so-called futuristic automotive technology.']",[-0.902]
24,24,0.0,0.2513,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['titl', 'merced', 'drive', 'pilot', 'beat', 'take', 'legal', 'respons', 'car', 'actual', 'legal', 'unfair', 'forc', 'driver', 'drive', 'lane', 'without']","Title: Mercedes Drive Pilot Beats Tesla Autopilot by Taking Legal Responsibility

💬: Is the car actually legally autonomous? If not, shouldn't it be just as unfair to force the driver to drive through their lane without the autopilot?",titl merced drive pilot beat take legal respons car actual legal unfair forc driver drive lane without,-0.999,"['Title: Mercedes Drive Pilot Beats Tesla Autopilot by Taking Legal Responsibility 💬: Is the car actually legally autonomous?', ""If not, shouldn't it be just as unfair to force the driver to drive through their lane without the autopilot?""]","[-0.998, -1.0]"
25,25,1.0,0.2058,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['featur', 'impress', 'selfdriv', 'ev']","Tesla's Autopilot Feature Is Impressive

#Tesla #Autopilot #SelfDriving #autonomous #EV https://t.co/sRfWPorf4o",featur impress selfdriv ev,1.0,"[""Tesla's Autopilot Feature Is Impressive Tesla Autopilot SelfDriving autonomous EV""]",[1.0]
26,26,0.0,0.2727,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['drive', 'vehicl', 'like', 'mode', 'see', 'respond', 'gt', 'gt', 'gt', 'video', 'via', 'gt', 'gt', 'gt', 'dataanalyt', 'machinelearn', 'bigdata', 'datasci', 'ai']","https://t.co/csV3AqWvkc #Autonomous driving vehicles, like the Tesla in #autopilot mode, see and respond &gt;&gt;&gt; video via @MikeQuindazzi &gt;&gt;&gt; #DataAnalytics #MachineLearning #BigData #DataScience #AI @ComendadorMBF",drive vehicl like mode see respond gt gt gt video via gt gt gt dataanalyt machinelearn bigdata datasci ai,0.979,"['Autonomous driving vehicles, like the Tesla in autopilot mode, see and respond video via DataAnalytics MachineLearning BigData DataScience AI']",[0.979]
27,27,4.0,0.2106,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['rise', 'featur', 'mani', 'truck', 'compani', 'look', 'drive', 'avoid', 'futur', 'driver', 'shortag', 'cut', 'cost', 'read', 'learn', 'truck', 'affect', 'industri']","With the rise of Tesla and their “autopilot” feature, many trucking companies have been looking into autonomous driving to avoid future driver shortages and cut costs. Read on to learn more about autonomous trucking and how it can affect the industry

https://t.co/OsLJfEWNyf",rise featur mani truck compani look drive avoid futur driver shortag cut cost read learn truck affect industri,0.953,"['With the rise of Tesla and their “autopilot” feature, many trucking companies have been looking into autonomous driving to avoid future driver shortages and cut costs.', 'Read on to learn more about autonomous trucking and how it can affect the industry']","[0.93, 0.976]"
28,28,1.0,0.3668,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['iih', 'creat', 'new', 'rate', 'system', 'semi', 'drive', 'system', 'insur', 'institut', 'highway', 'safeti', 'prepar', 'rate', 'semi', 'drive', 'system', 'like', 'gm', 'super', 'cruis', 'ford', 'blue', 'cruis', 'new', 'standard']","IIHS To Create New Rating System For Semi-Autonomous Driving Systems

The Insurance Institute for Highway Safety is preparing to rate semi-autonomous driving systems like Tesla’s Autopilot, GM’s Super Cruise, and Ford’s Blue Cruise. The new standards a https://t.co/wL1ZFXmdCN",iih creat new rate system semi drive system insur institut highway safeti prepar rate semi drive system like gm super cruis ford blue cruis new standard,0.996,"['IIHS To Create New Rating System For Semi-Autonomous Driving Systems The Insurance Institute for Highway Safety is preparing to rate semi-autonomous driving systems like Tesla’s Autopilot, GM’s Super Cruise, and Ford’s Blue Cruise.', 'The new standards a']","[0.995, 0.997]"
29,29,2.0,0.2205,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['order', 'still', 'would', 'prefer', 'radar', 'go', 'alway', 'thought', 'lidar', 'would', 'way', 'achiev', 'drive', 'turn', 'sandi', 'munro', 'differ', 'opinion', 'flir', 'way', 'go']","@varbmos @futurismisnow @tesla_adri I did order the autopilot, but still, would have preferred radar to go with it. I always thought lidar would be the only way to achieve autonomous driving. Turns our Sandy Munro has a different opinion and FLIR is the only way to go.
https://t.co/ATGOHCzbcT",order still would prefer radar go alway thought lidar would way achiev drive turn sandi munro differ opinion flir way go,-0.312,"['I did order the autopilot, but still, would have preferred radar to go with it.', 'I always thought lidar would be the only way to achieve autonomous driving.', 'Turns our Sandy Munro has a different opinion and FLIR is the only way to go.']","[-0.996, -0.919, 0.98]"
30,30,4.0,0.2903,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['idiot', 'live', 'among', 'us', 'oz', 'accord', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']","@9NewsMelb @penelopeliersch Idiots live among us. In Oz according to Tesla: ""Current Autopilot features require active driver supervision and do not make the vehicle autonomous.""",idiot live among us oz accord current featur requir activ driver supervis make vehicl,-0.999,"['Idiots live among us.', 'In Oz according to Tesla: ""Current Autopilot features require active driver supervision and do not make the vehicle autonomous.""']","[-1.0, -0.998]"
31,31,3.0,0.2368,"drive, full, level, 2, musk, elon, year, call, 5, claim","['order', 'court', 'buy', 'back', 'model', '3', 'custom', 'describ', 'drunk', 'novic', 'driver']",Tesla Ordered By Courts To Buy Back Model 3 After Customer Describes Autopilot As A 'Drunk Novice Driver' https://t.co/EECheijVCQ https://t.co/ML2tkFQzgW,order court buy back model 3 custom describ drunk novic driver,-0.999,"[""Tesla Ordered By Courts To Buy Back Model 3 After Customer Describes Autopilot As A 'Drunk Novice Driver'""]",[-0.999]
32,32,4.0,0.2583,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['sinc', 'rush', 'introduct', '2016', 'tri', 'pass', 'drive', 'start', '5', '000', 'option', '2016', 'balloon', '12', '000', 'packag', 'car', 'centric', 'websit', 'realli', 'pull', 'punch', 'shit', 'broken']","""Since its rushed introduction in 2016, Tesla has been trying to pass Autopilot off as autonomous driving. It’s not. What started as a $5,000 option in 2016 has now ballooned to a $12,000 package.""

For a car-centric website they really don't pull any punches when shit is broken.",sinc rush introduct 2016 tri pass drive start 5 000 option 2016 balloon 12 000 packag car centric websit realli pull punch shit broken,-0.538,"['""Since its rushed introduction in 2016, Tesla has been trying to pass Autopilot off as autonomous driving.', 'It’s not.', 'What started as a $5,000 option in 2016 has now ballooned to a $12,000 package.""', ""For a car-centric website they really don't pull any punches when shit is broken.""]","[-1.0, -0.982, -0.825, 0.655]"
33,33,4.0,0.2593,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['advocaten', 'nu', 'je', 'op', 'remt', 'nat', 'rlijk', 'niet', 'automatisch', 'noodgevallen', 'want', 'dat', 'allema', 'overdrijv', 'probabl', 'month', 'away', 'drive', 'least', 'highway', 'relat', 'simpl', 'road', 'elon', 'musk', 'sep', '23', '2015']","Tesla advocaten nu: Je Tesla op autopilot 'remt natúúrlijk NIET automatisch in noodgevallen' want 'dat is allemaal overdrijving'

""So, we are probably only a month away from having autonomous driving at least for highways and for relatively simple roads""

(Elon Musk sep 23, 2015 https://t.co/PvQa46JulF",advocaten nu je op remt nat rlijk niet automatisch noodgevallen want dat allema overdrijv probabl month away drive least highway relat simpl road elon musk sep 23 2015,-0.99,"['Tesla advocaten nu: Je Tesla op autopilot \'remt natúúrlijk NIET automatisch in noodgevallen\' want \'dat is allemaal overdrijving\' ""So, we are probably only a month away from having autonomous driving at least for highways and for relatively simple roads"" (Elon Musk sep 23, 2015']",[-0.99]
34,34,4.0,0.2981,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl', 'australia', 'websit']","@AssExtranious ""Current Autopilot features require active driver supervision and do not make the vehicle autonomous."" Tesla Australia website.",current featur requir activ driver supervis make vehicl australia websit,-0.241,"['""Current Autopilot features require active driver supervision and do not make the vehicle autonomous.""', 'Tesla Australia website.']","[-0.995, 0.513]"
35,35,3.0,0.2582,"drive, full, level, 2, musk, elon, year, call, 5, claim","['0', '60', 'time', 'impress', 'put', 'year', 'ahead', 'competit', 'almost', 'manufactur', 'type', 'rank', 'near', 'bottom', 'drive', 'well', 'year', 'ahead', 'lead', 'other', 'rapid', 'catch']","@Dasero521 @ZemachBrandon @alex_avoigt -0-60 time is impressive but doesn't put them years ahead of competition
-Almost all manufacturers have some type of autopilot. Tesla is ranked near the bottom in autonomous driving.
-Not very well. 
-Not years ahead 
-Tesla has the lead here but others are rapidly catching up.",0 60 time impress put year ahead competit almost manufactur type rank near bottom drive well year ahead lead other rapid catch,-0.072,"[""-0-60 time is impressive but doesn't put them years ahead of competition -Almost all manufacturers have some type of autopilot."", 'Tesla is ranked near the bottom in autonomous driving.', '-Not very well.', '-Not years ahead -Tesla has the lead here but others are rapidly catching up.']","[0.968, -0.999, -1.0, 0.744]"
36,36,1.0,0.2369,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['elonmusk', 'repeat', 'said', 'fsd', 'beta', 'safer', 'human', 'part', 'liter', 'name', 'full', 'self', 'drive', 'tslaq', 'tsla', 'block', 'cultist', 'talk', 'nonsens', 'buh', 'bye']","@BrandonLive @MarcLevesqueEco #ElonMusk has repeatedly said that #FSD (in beta) and #autopilot is safer than humans. And the autonomous part is literally in their names!! 
FULL SELF-DRIVING 
AUTOPILOT
$TSLAQ $TSLA 
I block Tesla cultists talking nonsense. Buh-bye",elonmusk repeat said fsd beta safer human part liter name full self drive tslaq tsla block cultist talk nonsens buh bye,0.514,"['ElonMusk has repeatedly said that FSD (in beta) and autopilot is safer than humans.', 'And the autonomous part is literally in their names!!', 'FULL SELF-DRIVING AUTOPILOT $TSLAQ $TSLA I block Tesla cultists talking nonsense.', 'Buh-bye']","[-0.541, 0.972, 0.633, 0.993]"
